concurso;data_do_sorteio;bola1;bola2;bola3;bola4;bola5;bola6;ganhadores_6_acertos;cidade_uf;rateio_6_acertos;ganhadores_5_acertos;rateio_5_acertos;ganhadores_4_acertos;rateio_4_acertos;acumulado_6_acertos;arrecadacao_total;estimativa_premio;acumulado_sorteio_especial_mega_da_virada;observacao
39;1996-12-01;12;16;37;45;52;56;0;NULL;0.00;73;13459.05;4444;221.09;13456111.33;0.00;0.00;0.00;NULL
40;1996-12-08;3;5;8;12;46;47;0;NULL;0.00;189;7789.93;12117;121.51;15222867.04;0.00;0.00;0.00;NULL
41;1996-12-15;12;26;35;38;39;47;1;BA;17019238.50;148;10114.70;10182;147.03;0.00;0.00;0.00;0.00;GANHADOR DA CIDADE DE SALVADOR, ESTADO DA BAHIA
42;1996-12-22;7;11;19;24;33;36;0;NULL;0.00;201;3684.64;9580;77.31;888735.02;0.00;0.00;0.00;NULL
43;1996-12-29;2;6;17;25;26;58;0;NULL;0.00;75;9738.03;5070;144.06;1765157.22;0.00;0.00;0.00;NULL
44;1997-01-05;14;18;29;38;44;47;0;NULL;0.00;103;7099.32;7742;94.45;2642633.14;0.00;0.00;0.00;NULL
45;1997-01-12;7;30;37;44;53;55;0;NULL;0.00;33;27201.47;3004;298.82;3719811.46;0.00;0.00;0.00;NULL
46;1997-01-19;1;23;24;32;46;60;0;NULL;0.00;91;9982.42;6263;145.04;4809891.56;0.00;0.00;0.00;NULL
47;1997-01-26;3;17;25;35;48;56;0;NULL;0.00;210;4458.44;10873;85.94;5933418.51;0.00;0.00;0.00;NULL
48;1997-02-02;2;5;28;34;47;50;0;NULL;0.00;132;7482.95;7454;132.25;7118717.38;0.00;0.00;0.00;NULL
49;1997-02-09;7;13;33;35;43;55;1;RJ;8405156.76;155;6916.34;9830;108.85;0.00;0.00;0.00;0.00;Ganhador  RJ (Barra Mansa)
50;1997-02-16;6;16;21;44;57;58;0;NULL;0.00;31;25241.25;2800;278.91;8917830.39;0.00;0.00;0.00;NULL
51;1997-02-23;17;23;24;25;42;47;0;NULL;0.00;143;7231.47;9361;110.25;10158749.73;0.00;0.00;0.00;NULL
52;1997-03-02;15;30;38;46;58;59;0;NULL;0.00;77;15544.23;6442;185.43;11595036.71;0.00;0.00;0.00;NULL
53;1997-03-09;3;13;16;38;42;46;0;NULL;0.00;210;6337.79;10941;121.41;13192159.46;0.00;0.00;0.00;NULL
54;1997-03-16;5;9;18;21;36;56;2;BA/SP;7469653.99;207;7033.61;13067;111.20;0.00;0.00;0.00;0.00;Ganhadores dos estados: BA e SP.
55;1997-03-23;2;14;23;29;38;52;0;NULL;0.00;66;10817.63;3840;185.56;856756.39;0.00;0.00;0.00;NULL
56;1997-03-30;2;7;20;35;51;59;0;NULL;0.00;48;12142.20;2599;223.81;1556147.46;0.00;0.00;0.00;NULL
57;1997-04-06;7;16;17;27;34;59;0;NULL;0.00;79;10699.10;6173;136.65;2570421.80;0.00;0.00;0.00;NULL
58;1997-04-13;12;27;30;37;44;49;1;SP;3631304.91;65;13601.07;5040;175.06;0.00;0.00;0.00;0.00;Ganhador do Estado: SP
59;1997-04-20;2;8;13;28;34;54;0;NULL;0.00;90;7312.34;5351;122.75;789733.42;0.00;0.00;0.00;NULL
60;1997-04-27;3;14;15;20;21;38;0;NULL;0.00;129;7111.47;7914;115.69;9478249.26;0.00;0.00;0.00;NULL
61;1997-05-04;8;18;29;42;44;59;0;NULL;0.00;52;18902.94;3866;253.76;10657792.45;0.00;0.00;0.00;NULL
62;1997-05-11;6;8;13;24;31;52;0;NULL;0.00;119;9968.70;8613;137.46;12081323.45;0.00;0.00;0.00;NULL
63;1997-05-18;9;25;26;40;41;49;1;MG;13680019.57;82;16246.91;6359;209.10;0.00;0.00;0.00;0.00;NULL
64;1997-05-25;8;12;23;50;54;60;0;NULL;0.00;29;23309.96;2441;276.38;811186.58;0.00;0.00;0.00;NULL
65;1997-06-01;1;5;20;25;32;34;0;NULL;0.00;61;11542.37;4932;142.48;1656088.09;0.00;0.00;0.00;NULL
66;1997-06-08;12;13;15;26;33;48;0;NULL;0.00;102;8054.25;7686;106.68;2641927.81;0.00;0.00;0.00;NULL
67;1997-06-15;12;14;17;27;47;52;0;NULL;0.00;83;10617.25;5479;160.52;3699406.44;0.00;0.00;0.00;NULL
68;1997-06-22;1;3;12;13;53;59;0;NULL;0.00;49;18496.73;4758;190.11;4787014.46;0.00;0.00;0.00;NULL
69;1997-06-29;25;34;45;53;56;58;0;NULL;0.00;55;17271.48;3661;258.96;5926931.93;0.00;0.00;0.00;NULL
70;1997-07-06;17;23;27;40;43;58;0;NULL;0.00;95;12899.52;6071;201.46;14883849.29;0.00;0.00;0.00;NULL
71;1997-07-13;16;27;33;43;45;53;0;NULL;0.00;115;12451.74;7430;192.35;16602188.45;0.00;0.00;0.00;NULL
72;1997-07-20;1;19;34;43;44;48;0;NULL;0.00;85;19676.33;7982;209.13;18609174.26;0.00;0.00;0.00;NULL
73;1997-07-27;25;26;28;45;51;57;1;BA;21026575.40;95;21205.27;8222;244.52;0.00;0.00;0.00;0.00;GANHADOR: BA - SALVADOR
74;1997-08-03;2;24;34;37;38;50;0;NULL;0.00;40;18257.68;3321;219.48;876368.71;0.00;0.00;0.00;NULL
75;1997-08-10;21;24;35;36;37;49;0;NULL;0.00;70;12395.02;5032;172.09;1917550.02;0.00;0.00;0.00;NULL
76;1997-08-17;8;17;18;23;33;53;0;NULL;0.00;92;10247.61;6399;147.04;3048886.14;0.00;0.00;0.00;NULL
77;1997-08-24;21;29;40;49;54;57;0;NULL;0.00;20;49648.81;2635;376.09;4240457.60;0.00;0.00;0.00;NULL
78;1997-08-31;12;22;25;31;32;46;0;NULL;0.00;103;9907.36;5984;170.19;5465006.39;0.00;0.00;0.00;NULL
79;1997-09-07;2;13;17;25;31;43;1;RS;6770601.75;247;4404.85;13375;81.18;0.00;0.00;0.00;0.00;O ganhador da SENA do Estado do Rio Grande do Sul
80;1997-09-14;23;28;37;40;48;51;0;NULL;0.00;43;26443.00;4284;264.89;10953707.53;0.00;0.00;0.00;NULL
81;1997-09-21;10;23;41;47;54;60;0;NULL;0.00;62;19453.15;4870;247.17;12401021.68;0.00;0.00;0.00;NULL
82;1997-09-28;15;18;29;36;51;53;1;BA;13877826.02;77;15982.73;5889;208.57;0.00;0.00;0.00;0.00;Ganhador da SENA do Estado da Bahia.
83;1997-10-05;4;15;16;24;42;57;0;NULL;0.00;76;9408.43;4756;150.04;858048.93;0.00;0.00;0.00;NULL
84;1997-10-12;4;6;10;25;34;40;0;NULL;0.00;102;7539.68;5546;138.40;1780905.80;0.00;0.00;0.00;NULL
85;1997-10-19;6;15;30;37;45;47;0;NULL;0.00;45;17279.25;4312;179.96;2713984.86;0.00;0.00;0.00;NULL
86;1997-10-26;6;21;22;34;36;54;0;NULL;0.00;48;16752.96;3752;213.90;3678955.17;0.00;0.00;0.00;NULL
87;1997-11-02;4;5;11;28;32;40;0;NULL;0.00;64;12696.60;5195;156.11;4654053.86;0.00;0.00;0.00;A SENA ESTA ACUMULADA.
88;1997-11-09;4;18;29;37;43;45;0;NULL;0.00;110;7965.82;6805;128.51;5705540.99;0.00;0.00;0.00;A MEGASENA ESTA ACUMULADA
89;1997-11-16;13;34;42;44;55;59;0;NULL;0.00;36;24246.00;3847;226.45;6752968.26;0.00;0.00;0.00;A MEGA SENA EST- ACUMULADA.
90;1997-11-23;9;21;26;40;52;54;1;RJ;15764300.87;74;18584.49;4763;288.17;0.00;0.00;0.00;0.00;ESTADO CONTEMPLADO COM SENA: RIO DE JANEIRO
91;1997-11-30;2;4;10;35;39;60;0;NULL;0.00;68;9588.80;3878;167.81;782445.93;0.00;0.00;0.00;NULL
92;1997-12-07;1;3;5;23;24;51;0;NULL;0.00;75;9792.64;5530;132.56;1663783.45;0.00;0.00;0.00;NULL
93;1997-12-14;2;22;28;31;36;53;0;NULL;0.00;61;12369.31;3795;198.44;2569217.31;0.00;0.00;0.00;NULL
94;1997-12-21;8;18;28;51;52;55;0;NULL;0.00;25;31457.49;2086;376.26;3512942.16;0.00;0.00;0.00;NULL
95;1997-12-28;6;40;45;46;50;60;0;NULL;0.00;22;30807.89;2185;309.58;4326270.55;0.00;0.00;0.00;NULL
96;1998-01-04;4;7;26;40;42;58;1;NULL;5218562.47;62;11993.17;3984;186.27;0.00;0.00;0.00;0.00;Ganhador da SENA do Estado da Bahia.
97;1998-01-11;5;11;14;35;53;56;1;NULL;727932.66;56;10832.33;3441;175.94;0.00;0.00;0.00;0.00;Ganhador da SENA do Estado de Minas Gerais.
98;1998-01-18;13;14;31;33;35;43;0;NULL;0.00;89;6508.88;4972;116.28;695149.05;0.00;0.00;0.00;NULL
99;1998-01-25;11;24;30;33;46;60;0;NULL;0.00;46;14037.92;3015;213.76;1470041.96;0.00;0.00;0.00;A MEGA EST- ACUMULADA ! ! !
100;1998-02-01;14;29;30;46;48;51;0;NULL;0.00;56;15930.48;3600;247.32;8585129.47;0.00;0.00;0.00;NULL
101;1998-02-08;1;18;29;31;37;39;0;NULL;0.00;52;20589.41;4653;229.64;9869908.65;0.00;0.00;0.00;A MEGA EST-  A C U M U L A D A  ! ! !
102;1998-02-15;19;20;37;42;44;56;1;NULL;11336626.88;73;16743.36;6197;196.85;0.00;0.00;0.00;0.00;Ganhador da SENA do Estado de Minas Gerais.
103;1998-02-22;1;7;9;49;54;57;1;NULL;696984.24;28;20743.58;2632;220.24;0.00;0.00;0.00;0.00;GANHADOR DA SENA DO ESTADO DO PARAN-
104;1998-03-01;1;4;13;21;38;52;0;NULL;0.00;37;14006.33;2588;199.85;621880.72;0.00;0.00;0.00;A C U M U L O U !!!
105;1998-03-08;3;13;31;43;46;49;0;NULL;0.00;55;11824.08;4875;133.14;1402269.88;0.00;0.00;0.00;A MEGA-SENA EST- ACUMULADA ! ! !
106;1998-03-15;5;16;24;35;38;39;0;NULL;0.00;94;7678.27;5390;133.65;2268378.66;9795278.00;3000000.00;0.00;NULL
107;1998-03-22;2;4;16;24;51;52;0;NULL;0.00;35;21494.23;3554;211.26;3171136.01;0.00;0.00;0.00;A MEGA EST- ACUMULADA ! ! !
108;1998-03-29;21;24;29;34;59;60;0;NULL;0.00;35;22511.72;2453;320.57;4116628.49;0.00;0.00;0.00;NULL
109;1998-04-04;1;13;44;48;49;54;0;NULL;0.00;39;21153.30;3881;212.15;11523677.38;0.00;0.00;0.00;A MEGA-SENA EST- ACUMULADA ! ! !
110;1998-04-11;18;31;43;52;57;58;0;NULL;0.00;35;27771.48;3212;302.01;12690079.16;0.00;0.00;0.00;NULL
111;1998-04-18;4;22;25;32;33;52;0;NULL;0.00;68;18082.94;6109;200.88;14165647.19;0.00;0.00;0.00;NULL
112;1998-04-25;12;20;34;37;42;43;1;NULL;15802579.93;137;9957.01;8340;163.25;0.00;0.00;0.00;0.00;"01 GANHADOR DO ESTADO DO ""RIO GRANDE DO NORTE"""
113;1998-05-02;7;26;28;34;54;55;0;NULL;0.00;38;14269.55;2572;210.40;650691.40;0.00;0.00;0.00;NULL
114;1998-05-09;6;12;18;37;47;54;0;NULL;0.00;71;9626.08;4908;138.99;1470833.69;0.00;0.00;0.00;NULL
115;1998-05-16;4;6;14;20;24;38;0;NULL;0.00;78;9283.10;5091;141.95;2339731.79;0.00;0.00;0.00;A MEGA-SENA EST- ACUMULADA !!!
116;1998-05-23;5;13;32;36;42;51;0;NULL;0.00;64;11956.28;5270;144.91;3257973.62;10384878.00;4200000.00;0.00;NULL
117;1998-05-30;20;25;27;33;42;53;0;NULL;0.00;36;22046.87;3822;207.26;4210398.41;0.00;0.00;0.00;NULL
118;1998-06-06;9;22;25;37;56;57;0;NULL;0.00;53;16052.88;4342;195.56;5231361.36;0.00;0.00;0.00;A MEGA-SENA EST- ACUMULADA ! ! !
119;1998-06-13;1;21;36;38;47;50;0;NULL;0.00;21;38921.16;2691;303.13;13206225.91;0.00;0.00;0.00;NULL
120;1998-06-20;3;16;27;40;45;46;0;NULL;0.00;92;13020.97;7073;169.04;14643740.70;0.00;0.00;0.00;NULL
121;1998-06-27;2;29;41;44;53;55;0;NULL;0.00;45;28917.00;4554;285.17;16205258.33;0.00;0.00;0.00;A MEGA-SENA EST- ACUMULADA ! ! !
122;1998-07-04;11;17;20;39;43;53;0;NULL;0.00;83;18210.45;7203;209.43;18019018.95;0.00;0.00;0.00;NULL
123;1998-07-11;13;14;16;26;32;42;0;NULL;0.00;176;12440.56;13159;166.06;20646465.28;0.00;0.00;0.00;A MEGA-SENA ACUMULOU (11¬ Vez)
124;1998-07-18;5;15;34;41;52;57;1;NULL;24536288.72;188;17242.12;14019;230.76;0.00;0.00;0.00;0.00;O PREMIO PRINCIPAL SAIU PARA A CIDADE DE VILA VELHA NO ESTADO DO ESPIRITO SANTO.
125;1998-07-25;25;41;47;53;56;59;0;NULL;0.00;46;15425.68;2784;254.38;851497.47;0.00;0.00;0.00;NULL
126;1998-08-01;6;10;11;28;32;40;0;NULL;0.00;83;10052.56;5510;151.13;1852731.83;0.00;0.00;0.00;A MEGA-SENA EST- ACUMULADA ! ! !
127;1998-08-08;21;29;50;51;54;59;0;NULL;0.00;40;23638.47;2613;361.14;2987378.17;0.00;0.00;0.00;NULL
128;1998-08-15;3;9;18;21;23;43;0;NULL;0.00;973;1024.41;11715;84.91;4183483.50;0.00;0.00;0.00;NULL
129;1998-08-22;1;9;10;32;46;54;0;NULL;0.00;67;15634.41;5320;196.51;5440490.00;0.00;0.00;0.00;A MEGA-SENA EST- BIG ACUMULADA ! ! !
130;1998-08-29;13;29;38;42;49;53;0;NULL;0.00;155;11796.24;11403;160.03;18814958.31;0.00;0.00;0.00;NULL
131;1998-09-05;4;9;17;27;30;44;0;NULL;0.00;361;6811.67;21683;113.19;21765774.49;0.00;0.00;0.00;NULL
132;1998-09-12;7;9;35;41;44;50;0;NULL;0.00;143;20846.64;12179;244.29;25343057.89;0.00;0.00;0.00;A MEGA CONTINUA ACUMULADA - Previsão de Prêmio para o Conc.133 = 29.000.000,00
133;1998-09-19;5;6;19;34;39;57;1;NULL;30533241.12;431;10035.16;29264;147.51;0.00;0.00;0.00;0.00;ESTADO CONTEMPLADO COM SENA: 01 MINAS GERAIS.
134;1998-09-26;4;25;32;36;52;60;0;NULL;0.00;82;10253.38;4575;183.42;1008932.39;0.00;0.00;0.00;NULL
135;1998-10-03;21;22;35;40;53;59;0;NULL;0.00;40;24573.18;3604;272.19;2188444.72;0.00;0.00;0.00;A MEGA-SENA ESTÁ ACUMULADA ! ! !
136;1998-10-10;1;17;25;38;45;59;0;NULL;0.00;126;8435.36;7403;143.29;3463871.17;0.00;0.00;0.00;NULL
137;1998-10-17;15;16;19;22;26;49;0;NULL;0.00;88;12675.49;6701;166.13;4802402.93;0.00;0.00;0.00;A MEGA-SENA ESTÁ ACUMULADA ! ! !
138;1998-10-24;5;14;27;37;40;41;0;NULL;0.00;86;14074.36;6953;173.74;6254876.80;0.00;0.00;0.00;NULL
139;1998-10-31;3;13;26;27;41;42;2;NULL;3902486.14;179;7216.46;9401;137.14;0.00;0.00;0.00;0.00;02 Ganhadores do Estado de SÃO PAULO (Taubaté e São Paulo-Capital)
140;1998-11-07;7;31;41;44;46;55;0;NULL;0.00;45;36581.33;4945;332.24;16453628.31;0.00;0.00;0.00;NULL
141;1998-11-14;10;13;22;41;42;58;0;NULL;0.00;119;20106.10;10533;226.70;19324778.90;0.00;0.00;0.00;A MEGA-SENA ESTÁ ACUMULADA.  PREVISÃO DO PRÊMIO: 23 Milhões. ! ! !
142;1998-11-21;8;15;19;20;54;59;0;NULL;0.00;162;18143.56;13991;209.66;22851887.24;0.00;0.00;0.00;A MEGA-SENA  CONTINUA   A C U M U L A A A D A !
143;1998-11-28;6;18;20;40;50;53;0;NULL;0.00;144;24792.99;10994;324.10;27136115.88;0.00;0.00;0.00;A MEGA ACUMULOU  E  A  BOLADA ESTARÁ BEM MAIOR ! ! !
144;1998-12-05;8;32;36;44;45;55;1;NULL;33597755.21;257;20952.14;23952;224.38;0.00;0.00;0.00;0.00;ESTADO CONTEMPLADO COM A SENA: RONDONIA - CIDADE PORTO VELHO.
145;1998-12-12;15;16;31;41;43;51;0;NULL;0.00;71;15061.27;3389;314.91;1283220.59;0.00;0.00;0.00;A C U M U L O U  ! ! !
146;1998-12-19;25;32;34;42;51;60;0;NULL;0.00;51;23923.45;4079;298.52;2747335.81;0.00;0.00;0.00;NULL
147;1998-12-24;6;16;23;24;28;38;1;NULL;3805750.38;75;11760.17;5418;162.48;0.00;0.00;0.00;0.00;01 Ganhador da MEGA  -  Distrito Federal
148;1998-12-31;32;35;41;55;58;59;0;NULL;0.00;15;53660.04;2322;345.95;965880.61;0.00;0.00;0.00;NULL
149;1999-01-09;7;11;20;28;45;48;0;NULL;0.00;106;9795.13;6290;164.74;2211820.94;0.00;0.00;0.00;A MEGA ACUMULOU - O prêmio do CONC.150 pode chegar a 21,2 Milhões.
150;1999-01-16;12;44;50;52;54;55;0;NULL;0.00;56;36378.71;5540;367.00;21414530.14;0.00;0.00;0.00;NULL
151;1999-01-23;3;16;20;43;52;56;1;NULL;24091811.02;152;14678.07;9869;225.62;0.00;0.00;0.00;0.00;Ganhador da SENA do Estado do Rio Grande do Norte.
152;1999-01-30;5;12;15;29;51;58;0;NULL;0.00;75;11562.39;5041;172.03;1040614.80;0.00;0.00;0.00;A MEGA-SENA acumulou em mais de 1 milhão de reais.
153;1999-02-06;2;30;31;42;45;47;0;NULL;0.00;47;22846.45;4218;254.57;2329154.62;0.00;0.00;0.00;NULL
154;1999-02-13;8;10;24;33;45;48;0;NULL;0.00;144;7888.29;9252;122.78;3692251.60;0.00;0.00;0.00;A MEGA ESTÁ ACUMULADA - Próximo Conc. 155, será dia 20/02/1999
155;1999-02-20;12;30;32;35;43;44;1;NULL;4988808.21;67;16126.32;4974;217.22;0.00;0.00;0.00;0.00;Ganhador da SENA da cidade de Foz do Iguaçu - Estado do Paraná.
156;1999-02-27;17;23;42;49;52;55;0;NULL;0.00;74;11018.10;4455;183.02;978407.41;0.00;0.00;0.00;A MEGA-SENA   está  A C U M U L A D A !!!
157;1999-03-06;4;13;17;21;41;44;1;NULL;2140030.92;134;7224.03;8894;108.84;0.00;0.00;0.00;0.00;Ganhador da SENA do Estado de Goiás.
158;1999-03-13;4;14;17;43;51;58;0;NULL;0.00;31;25856.53;3630;220.81;961863.12;0.00;0.00;0.00;A  Mega-Sena   A C U M U L O U  !!!
159;1999-03-20;9;11;16;35;50;58;1;PR;2038170.67;57;15735.49;4124;217.49;0.00;0.00;0.00;0.00;Ganhador da SENA do Estado do Paraná.
160;1999-03-27;2;13;42;52;54;58;0;NULL;0.00;74;19431.89;6132;234.50;11251511.63;0.00;0.00;0.00;A MEGA está acumulada - o Prêmio do Concurso 161, poderá chegar a R$  13 Milhões
161;1999-04-03;6;25;30;37;39;41;0;NULL;0.00;95;14430.61;6865;199.69;12896601.04;0.00;0.00;0.00;NULL
162;1999-04-10;21;23;33;38;48;51;0;NULL;0.00;92;20941.30;7244;265.96;15208520.83;0.00;0.00;0.00;NULL
163;1999-04-17;8;27;36;41;53;56;2;NULL;8975833.36;146;15657.23;10793;211.80;0.00;0.00;0.00;0.00;02 Ganhadores da MEGA:  Distrito Federal e Mato Grosso do Sul
164;1999-04-24;4;10;14;19;28;44;0;NULL;0.00;111;7595.63;8386;100.54;1011737.90;0.00;0.00;0.00;A Mega-Sena  ACUMULOU em: R$ 1.011.737,90
165;1999-05-01;10;19;23;35;39;56;2;NULL;1044444.54;75;11968.35;5378;166.91;0.00;0.00;0.00;0.00;Ganhadores da SENA dos Estados de Minas Gerais e Pernambuco.
166;1999-05-08;12;13;22;57;59;60;0;NULL;0.00;47;17424.67;3371;242.95;982751.54;0.00;0.00;0.00;A MEGA   A C U M U L O U   ! ! !
167;1999-05-15;1;11;28;33;38;48;1;NULL;2100980.21;82;11364.11;4997;186.48;0.00;0.00;0.00;0.00;Ganhador da SENA do Estado do Rio de Janeiro.
168;1999-05-22;2;9;31;35;45;50;0;NULL;0.00;48;15743.70;3528;214.20;906836.93;0.00;0.00;0.00;MEGASENA - O prêmio está ACUMULADO
169;1999-05-29;1;13;21;37;51;52;0;NULL;0.00;65;13679.08;4489;198.07;1973804.91;0.00;0.00;0.00;NULL
170;1999-06-05;7;41;46;51;55;58;0;NULL;0.00;50;32383.95;6257;258.78;13643095.71;0.00;0.00;0.00;"A  MEGA-SENA  CONTINUA    ""A C U M U L A D A"" podendo passar de 16 MILHÕES DE REAIS"
171;1999-06-12;4;27;40;43;46;54;1;NULL;16052410.83;134;14983.30;10378;193.46;0.00;0.00;0.00;0.00;UM GANHADOR DA MEGA-SENA, no Estado do Rio de Janeiro - Capital
172;1999-06-19;10;14;26;35;36;49;0;NULL;0.00;64;13460.12;4592;186.89;1033736.70;0.00;0.00;0.00;NULL
173;1999-06-26;17;28;29;42;49;50;1;NULL;2148316.42;40;23220.41;3610;256.32;0.00;0.00;0.00;0.00;O Ganhador da SENA é do Distrito Federal.
174;1999-07-03;11;22;23;36;52;59;0;NULL;0.00;44;17846.85;3217;243.18;942313.58;0.00;0.00;0.00;A MEGA-SENA  ( A C U M U L O U ) - R$ 942.313,58
175;1999-07-10;1;10;13;20;42;50;0;NULL;0.00;114;8094.08;7058;130.25;2049582.99;0.00;0.00;0.00;A SENA está ACUMULADA  em  R$ 2.049.582,99.
176;1999-07-17;1;3;4;28;45;53;0;NULL;0.00;62;16696.39;5405;190.80;3291794.61;0.00;0.00;0.00;NULL
177;1999-07-24;22;35;38;39;41;59;0;NULL;0.00;52;21716.29;4408;255.21;4646890.81;0.00;0.00;0.00;A SENA ESTÁ ACUMULADA, E O PRÊMIO ESTIMADO É DE R$ 6.500.000,00!
178;1999-07-31;5;15;19;26;27;33;1;NULL;6129539.43;198;6240.11;13086;94.07;0.00;0.00;0.00;0.00;Ganhador do Estado de São Paulo
179;1999-08-07;5;6;23;26;27;53;0;NULL;0.00;78;10281.59;5646;141.51;962357.04;0.00;0.00;0.00;Não Houve Ganhador da Sena. MEGASENA  ACUMULADA.
180;1999-08-14;6;23;29;39;51;60;0;NULL;0.00;111;15907.98;6978;252.09;12143009.93;0.00;0.00;0.00;A MEGA SENA Acumulou - prêmio previsto superior a 14 Milhões.
